"id","attendance","sleep_hours","hours_studied","previous_scores","exam_score"
95,89,4,18,73,100
218,70,7,19,54,89
405,77,5,17,53,86
530,83,7,15,97,97
771,96,6,24,93,94
837,76,8,29,96,94
920,74,6,21,94,97
1108,77,6,14,75,89
1110,69,7,31,52,92
1526,98,6,27,93,101
1608,98,9,30,93,88
1845,92,9,21,58,89
2293,70,9,21,66,91
2422,90,9,27,52,86
2426,83,4,23,89,99
2514,86,8,18,60,88
2596,69,8,7,54,87
2688,71,8,11,55,87
2905,62,7,11,76,88
3125,90,5,19,90,94
3142,63,10,7,90,86
3365,76,6,16,63,86
3458,93,7,18,76,96
3580,90,8,14,86,99
4193,90,9,28,91,98
4298,67,6,21,88,95
4406,98,7,25,90,94
4532,69,7,26,95,93
4584,73,7,25,56,93
4780,88,4,1,72,92
5967,99,7,25,77,97
6348,96,4,28,98,98
6394,83,8,16,92,98
6523,90,6,18,54,95
